dataset,publishTime,startTime,generation
WINDFOR,2024-01-31T22:30:00Z,2024-01-31T21:00:00Z,17543
WINDFOR,2024-01-31T22:30:00Z,2024-01-31T22:00:00Z,17315
WINDFOR,2024-01-31T22:30:00Z,2024-01-31T23:00:00Z,16909
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T00:00:00Z,16341
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T01:00:00Z,15630
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T02:00:00Z,15049
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T03:00:00Z,14787
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T04:00:00Z,14303
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T05:00:00Z,13746
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T06:00:00Z,13139
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T07:00:00Z,12561
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T08:00:00Z,11900
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T09:00:00Z,11263
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T10:00:00Z,10817
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T11:00:00Z,10406
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T12:00:00Z,10230
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T13:00:00Z,10117
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T14:00:00Z,9926
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T15:00:00Z,9710
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T16:00:00Z,10111
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T17:00:00Z,10898
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T18:00:00Z,11794
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T19:00:00Z,12754
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T20:00:00Z,13372
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T21:00:00Z,14061
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T22:00:00Z,14822
WINDFOR,2024-01-31T22:30:00Z,2024-02-01T23:00:00Z,15463
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T00:00:00Z,16008
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T01:00:00Z,16477
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T02:00:00Z,16822
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T03:00:00Z,17090
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T04:00:00Z,17282
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T05:00:00Z,17396
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T06:00:00Z,17577
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T07:00:00Z,17526
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T08:00:00Z,17652
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T09:00:00Z,17725
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T10:00:00Z,17469
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T11:00:00Z,17596
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T12:00:00Z,17669
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T13:00:00Z,17650
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T14:00:00Z,17657
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T15:00:00Z,17566
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T16:00:00Z,17672
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T17:00:00Z,17659
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T18:00:00Z,17615
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T19:00:00Z,17857
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T20:00:00Z,17815
WINDFOR,2024-01-31T22:30:00Z,2024-02-02T21:00:00Z,17765
WINDFOR,2024-01-31T18:30:00Z,2024-01-31T21:00:00Z,17912
WINDFOR,2024-01-31T18:30:00Z,2024-01-31T22:00:00Z,17670
WINDFOR,2024-01-31T18:30:00Z,2024-01-31T23:00:00Z,17275
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T00:00:00Z,16696
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T01:00:00Z,15997
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T02:00:00Z,15429
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T03:00:00Z,15130
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T04:00:00Z,14675
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T05:00:00Z,14110
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T06:00:00Z,13497
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T07:00:00Z,12912
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T08:00:00Z,12245
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T09:00:00Z,11608
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T10:00:00Z,11154
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T11:00:00Z,10739
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T12:00:00Z,10562
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T13:00:00Z,10446
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T14:00:00Z,10245
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T15:00:00Z,10014
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T16:00:00Z,10407
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T17:00:00Z,11194
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T18:00:00Z,12096
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T19:00:00Z,13068
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T20:00:00Z,13692
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T21:00:00Z,14395
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T22:00:00Z,15171
WINDFOR,2024-01-31T18:30:00Z,2024-02-01T23:00:00Z,15825
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T00:00:00Z,16377
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T01:00:00Z,16847
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T02:00:00Z,17189
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T03:00:00Z,17461
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T04:00:00Z,17656
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T05:00:00Z,17769
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T06:00:00Z,17952
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T07:00:00Z,17897
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T08:00:00Z,18026
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T09:00:00Z,18108
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T10:00:00Z,17855
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T11:00:00Z,17983
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T12:00:00Z,18055
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T13:00:00Z,18037
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T14:00:00Z,18046
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T15:00:00Z,17957
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T16:00:00Z,18064
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T17:00:00Z,18052
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T18:00:00Z,18009
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T19:00:00Z,18250
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T20:00:00Z,18205
WINDFOR,2024-01-31T18:30:00Z,2024-02-02T21:00:00Z,18154
WINDFOR,2024-01-31T15:30:00Z,2024-01-31T21:00:00Z,17887
WINDFOR,2024-01-31T15:30:00Z,2024-01-31T22:00:00Z,17660
WINDFOR,2024-01-31T15:30:00Z,2024-01-31T23:00:00Z,17263
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T00:00:00Z,16790
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T01:00:00Z,16101
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T02:00:00Z,15532
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T03:00:00Z,15200
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T04:00:00Z,14871
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T05:00:00Z,14475
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T06:00:00Z,13910
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T07:00:00Z,13329
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T08:00:00Z,12699
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T09:00:00Z,11996
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T10:00:00Z,11536
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T11:00:00Z,11114
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T12:00:00Z,10993
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T13:00:00Z,10838
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T14:00:00Z,10556
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T15:00:00Z,10240
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T16:00:00Z,10531
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T17:00:00Z,11235
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T18:00:00Z,12089
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T19:00:00Z,13008
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T20:00:00Z,13611
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T21:00:00Z,14280
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T22:00:00Z,15132
WINDFOR,2024-01-31T15:30:00Z,2024-02-01T23:00:00Z,15813
WINDFOR,2024-01-31T15:30:00Z,2024-02-02T00:00:00Z,16406
WINDFOR,2024-01-31T15:30:00Z,2024-02-02T01:00:00Z,16820
WINDFOR,2024-01-31T15:30:00Z,2024-02-02T02:00:00Z,16977
WINDFOR,2024-01-31T15:30:00Z,2024-02-02T03:00:00Z,17392
